timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2023-09-14 23:55:00,26528.4,26528.7,26528.4,26528.6,0.03465206,peak,240.0
1min,2023-09-14 23:57:00,26525.4,26526.1,26521.2,26526.0,2.37274844,valley,120.0
5min,2023-09-15 00:01:00,26521.1,26521.1,26494.6,26510.0,6.64898813,valley,1080.0
1min,2023-09-15 00:06:00,26511.0,26517.6,26510.9,26517.3,0.97809871,peak,180.0
1min,2023-09-15 00:09:00,26517.6,26520.5,26517.6,26519.5,0.11853598,peak,480.0
1min,2023-09-15 00:10:00,26519.4,26519.7,26507.9,26510.3,1.12489767,valley,180.0
1min,2023-09-15 00:13:00,26511.3,26511.3,26501.2,26501.3,0.65456223,valley,300.0
1min,2023-09-15 00:16:00,26508.6,26508.7,26504.4,26504.5,0.29261546,peak,180.0
15min,2023-09-15 00:23:00,26479.2,26479.4,26476.1,26477.7,0.57267309,valley,2580.0
1min,2023-09-15 00:25:00,26478.2,26489.6,26478.2,26487.4,0.46887461,peak,180.0
1min,2023-09-15 00:31:00,26515.1,26527.9,26515.1,26524.7,1.6482302,peak,120.0
1min,2023-09-15 00:34:00,26524.0,26530.2,26523.9,26530.2,0.18324697,valley,120.0
1min,2023-09-15 00:37:00,26538.7,26543.1,26528.7,26528.7,2.70699135,peak,240.0
1min,2023-09-15 00:39:00,26529.5,26529.5,26527.7,26527.8,0.26878926,valley,300.0
1min,2023-09-15 00:42:00,26544.3,26544.3,26542.7,26542.8,0.05571264,peak,180.0
15min,2023-09-15 00:45:00,26543.3,26557.2,26543.2,26557.1,3.57888449,peak,4260.0
1min,2023-09-15 00:48:00,26538.0,26545.2,26538.0,26545.2,1.33651615,peak,120.0
1min,2023-09-15 00:51:00,26529.1,26529.1,26518.7,26519.2,0.87984596,valley,240.0
1min,2023-09-15 00:53:00,26519.2,26523.2,26519.1,26523.1,1.14554689,peak,120.0
1min,2023-09-15 00:58:00,26488.6,26489.2,26477.1,26477.1,0.90990446,valley,480.0
1min,2023-09-15 01:03:00,26492.9,26493.0,26490.6,26492.0,0.10774216,peak,360.0
1H,2023-09-15 01:07:00,26453.7,26463.6,26452.4,26463.1,1.21427275,valley,16620.0
5min,2023-09-15 01:12:00,26491.9,26503.3,26491.9,26496.5,4.64272461,peak,600.0
1min,2023-09-15 01:16:00,26465.4,26471.6,26465.2,26471.6,0.3121449,valley,420.0
1min,2023-09-15 01:18:00,26466.6,26475.7,26466.5,26475.7,0.73030171,valley,120.0
15min,2023-09-15 01:26:00,26511.2,26517.2,26505.0,26515.0,0.50603332,peak,1800.0
1min,2023-09-15 01:26:00,26511.2,26517.2,26505.0,26515.0,0.50603332,valley,240.0
1min,2023-09-15 01:29:00,26511.9,26511.9,26508.7,26508.8,0.6567837,valley,180.0
1min,2023-09-15 01:31:00,26512.9,26516.3,26512.9,26516.3,0.58151963,peak,240.0
1min,2023-09-15 01:32:00,26516.2,26516.2,26496.3,26496.4,1.62122805,valley,420.0
1min,2023-09-15 01:34:00,26498.0,26503.0,26498.0,26503.0,0.21561143,peak,120.0
1min,2023-09-15 01:37:00,26500.1,26500.1,26496.8,26498.3,0.3363827,valley,120.0
5min,2023-09-15 01:40:00,26482.8,26482.8,26479.5,26479.5,0.2317701,valley,1260.0
1min,2023-09-15 01:42:00,26485.5,26490.2,26485.5,26490.1,0.10389206,peak,180.0
1min,2023-09-15 01:44:00,26486.8,26490.2,26483.2,26490.2,0.19757597,valley,180.0
1min,2023-09-15 01:46:00,26492.8,26499.8,26492.8,26499.8,0.93454788,peak,540.0
1min,2023-09-15 01:48:00,26497.4,26498.3,26497.4,26498.2,0.56088312,peak,120.0
5min,2023-09-15 01:54:00,26488.5,26488.5,26486.8,26486.9,0.05497805,valley,600.0
5min,2023-09-15 02:03:00,26521.4,26572.1,26521.4,26565.4,4.00865356,peak,1020.0
1min,2023-09-15 02:08:00,26557.3,26557.4,26544.4,26547.1,0.5313662,valley,300.0
1min,2023-09-15 02:11:00,26549.4,26549.4,26545.1,26545.2,0.13057858,valley,180.0
1min,2023-09-15 02:12:00,26545.2,26559.5,26545.1,26557.0,1.63794624,peak,120.0
1min,2023-09-15 02:16:00,26562.2,26572.0,26562.2,26572.0,0.32212801,peak,240.0
1min,2023-09-15 02:18:00,26571.1,26571.1,26562.8,26562.9,0.46850832,valley,120.0
1min,2023-09-15 02:21:00,26587.6,26593.8,26578.3,26584.4,5.2320579,peak,240.0
5min,2023-09-15 02:25:00,26593.0,26598.5,26593.0,26596.2,0.63824622,peak,840.0
1min,2023-09-15 02:26:00,26596.3,26596.3,26591.3,26592.6,0.17890721,valley,120.0
1min,2023-09-15 02:29:00,26592.9,26593.0,26586.6,26591.8,0.49607737,valley,300.0
1min,2023-09-15 02:30:00,26591.8,26597.1,26591.8,26597.1,1.95572103,peak,300.0
1min,2023-09-15 02:34:00,26589.1,26589.1,26585.8,26585.9,0.33886176,valley,540.0
1min,2023-09-15 02:39:00,26595.1,26602.4,26595.1,26602.4,0.41105058,peak,360.0
5min,2023-09-15 02:43:00,26588.2,26594.0,26584.9,26594.0,0.56795203,valley,1200.0
5min,2023-09-15 02:46:00,26604.5,26606.0,26604.5,26605.9,0.20864322,peak,780.0
1min,2023-09-15 02:49:00,26596.8,26596.8,26593.7,26593.7,0.18067889,valley,240.0
1min,2023-09-15 02:50:00,26594.5,26597.2,26594.4,26597.2,0.11638484,peak,120.0
1min,2023-09-15 02:54:00,26590.5,26591.0,26590.4,26591.0,0.41034768,valley,120.0
1min,2023-09-15 02:55:00,26594.2,26594.3,26591.0,26591.0,0.77101485,peak,120.0
1min,2023-09-15 02:57:00,26589.1,26595.6,26586.6,26595.6,0.47870797,valley,360.0
15min,2023-09-15 03:00:00,26606.3,26613.5,26603.4,26603.4,1.74104572,peak,1800.0
1min,2023-09-15 03:03:00,26596.9,26596.9,26581.4,26581.4,2.22510121,valley,180.0
5min,2023-09-15 03:06:00,26585.9,26585.9,26579.4,26579.5,0.2400137,valley,1080.0
1min,2023-09-15 03:07:00,26579.4,26595.4,26579.4,26590.8,1.49225535,peak,240.0
1min,2023-09-15 03:11:00,26593.1,26599.1,26593.0,26596.6,0.74461417,peak,240.0
1min,2023-09-15 03:14:00,26596.1,26596.2,26592.3,26592.4,0.09626954,valley,300.0
5min,2023-09-15 03:16:00,26600.4,26600.4,26600.3,26600.4,0.0714283,peak,840.0
1min,2023-09-15 03:18:00,26595.9,26596.4,26595.9,26596.4,0.9602709,valley,180.0
5min,2023-09-15 03:24:00,26582.9,26582.9,26578.5,26578.6,0.19963118,valley,1140.0
1min,2023-09-15 03:27:00,26580.9,26590.4,26580.8,26587.3,0.807812,peak,180.0
5min,2023-09-15 03:30:00,26583.9,26616.8,26583.9,26611.0,7.18055703,peak,1740.0
1min,2023-09-15 03:32:00,26602.2,26602.3,26602.2,26602.3,0.00783652,valley,120.0
1min,2023-09-15 03:35:00,26606.6,26606.6,26604.5,26604.7,1.02183905,peak,240.0
15min,2023-09-15 03:43:00,26584.1,26584.1,26577.7,26577.8,0.28664568,valley,4980.0
1min,2023-09-15 03:45:00,26578.1,26580.0,26578.1,26579.8,0.39195112,peak,120.0
1min,2023-09-15 03:47:00,26579.8,26587.7,26579.7,26585.9,2.79589345,peak,120.0
1min,2023-09-15 03:51:00,26590.5,26604.5,26589.9,26604.5,4.06377161,valley,120.0
1min,2023-09-15 03:52:00,26604.5,26610.9,26602.6,26602.6,2.61903751,peak,180.0
1min,2023-09-15 03:55:00,26604.3,26614.1,26604.3,26606.2,3.48007308,peak,240.0
1min,2023-09-15 03:56:00,26606.2,26607.1,26602.3,26602.4,1.31391083,valley,300.0
1min,2023-09-15 03:59:00,26606.9,26625.7,26606.9,26616.1,2.76701885,peak,420.0
1min,2023-09-15 04:03:00,26617.8,26617.9,26617.8,26617.9,0.1189318,valley,120.0
1min,2023-09-15 04:05:00,26621.1,26624.6,26616.3,26624.6,2.5375073,valley,300.0
1min,2023-09-15 04:07:00,26626.0,26626.8,26625.9,26626.8,0.15717917,peak,180.0
1min,2023-09-15 04:08:00,26626.8,26626.8,26622.4,26622.4,2.07407351,valley,180.0
1min,2023-09-15 04:12:00,26650.9,26651.9,26650.5,26650.6,0.34683698,peak,300.0
1min,2023-09-15 04:14:00,26642.6,26642.6,26639.3,26639.4,0.17575016,valley,180.0
15min,2023-09-15 04:17:00,26647.7,26654.0,26647.6,26653.9,0.37487787,peak,1860.0
1min,2023-09-15 04:18:00,26653.9,26653.9,26641.2,26641.3,0.44565049,valley,180.0
1min,2023-09-15 04:20:00,26641.3,26645.4,26641.3,26641.5,0.28211765,peak,120.0
1min,2023-09-15 04:23:00,26619.6,26628.1,26619.6,26628.0,0.26303067,valley,300.0
15min,2023-09-15 04:32:00,26605.5,26605.5,26603.3,26603.3,0.07237147,valley,2040.0
1min,2023-09-15 04:34:00,26610.3,26610.4,26610.3,26610.4,0.17288431,peak,180.0
1min,2023-09-15 04:35:00,26610.3,26610.4,26609.7,26609.8,0.03121131,valley,120.0
1min,2023-09-15 04:40:00,26618.7,26620.8,26618.6,26620.8,0.12072392,peak,120.0
